"filename", "language", "Makefile", "Python", "pip requirements", "JSON", "Ini", "Markdown", "XML", "JavaScript", "HTML", "PostCSS", "YAML", "comment", "blank", "total"
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\controllers\user_controller.py", "Python", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 113
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\data\users.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\models\enums.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\models\models.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 108
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\services\order_service.py", "Python", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51, 317
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\services\product_service.py", "Python", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 74
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\services\table_service.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 98
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\services\user_service.py", "Python", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41, 183
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 21
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\create_admin.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\main.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\utils\.pylintrc", "Ini", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 3, 15
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\utils\Makefile", "Makefile", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\utils\requirements.txt", "pip requirements", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"Total", "-", 6, 1008, 6, 1, 9, 424, 3, 2344, 917, 310, 1, 1331, 940, 7300
